rpm,load,target_afr,trim_percent
5200,0.40,13.705,0.000
5200,0.45,13.605,0.000
5200,0.50,13.505,0.000
5200,0.55,13.405,0.000
5200,0.60,13.305,0.000
5200,0.65,13.205,0.000
5200,0.70,13.105,0.000
5200,0.75,13.005,0.000
5200,0.80,12.905,0.000
5200,0.85,12.805,0.000
5200,0.90,12.705,0.000
5200,0.95,12.605,0.000
5200,1.00,12.505,0.000
5400,0.00,14.498,0.000
5400,0.05,14.498,0.000
5400,0.10,14.365,0.000
5400,0.15,14.231,0.000
5400,0.20,14.098,0.000
5400,0.25,13.998,0.000
5400,0.30,13.898,0.000
5400,0.35,13.798,0.000
5400,0.40,13.698,0.000
5400,0.45,13.598,0.000
5400,0.50,13.498,0.000
5400,0.55,13.398,0.000
5400,0.60,13.298,0.000
5400,0.65,13.198,0.000
5400,0.70,13.098,0.000
5400,0.75,12.998,0.000
5400,0.80,12.898,0.000
5400,0.85,12.798,0.000
5400,0.90,12.698,0.000
5400,0.95,12.598,0.000
5400,1.00,12.498,0.000
5600,0.00,14.490,0.000
5600,0.05,14.490,0.000
5600,0.10,14.357,0.000
5600,0.15,14.223,0.000
5600,0.20,14.090,0.000
5600,0.25,13.990,0.000
5600,0.30,13.890,0.000
5600,0.35,13.790,0.000
5600,0.40,13.690,0.000
5600,0.45,13.590,0.000
5600,0.50,13.490,0.000
5600,0.55,13.390,0.000
5600,0.60,13.290,0.000
5600,0.65,13.190,0.000
5600,0.70,13.090,0.000
5600,0.75,12.990,0.000
5600,0.80,12.890,0.000
5600,0.85,12.790,0.000
5600,0.90,12.690,0.000
5600,0.95,12.590,0.000
5600,1.00,12.490,0.000
5800,0.00,14.483,0.000
5800,0.05,14.483,0.000
5800,0.10,14.350,0.000
5800,0.15,14.216,0.000
5800,0.20,14.083,0.000
5800,0.25,13.983,0.000
5800,0.30,13.883,0.000
5800,0.35,13.783,0.000
5800,0.40,13.683,0.000
5800,0.45,13.583,0.000
5800,0.50,13.483,0.000
5800,0.55,13.383,0.000
5800,0.60,13.283,0.000
5800,0.65,13.183,0.000
5800,0.70,13.083,0.000
5800,0.75,12.983,0.000
5800,0.80,12.883,0.000
5800,0.85,12.783,0.000
5800,0.90,12.683,0.000
5800,0.95,12.583,0.000
5800,1.00,12.483,0.000
6000,0.00,14.475,0.000
6000,0.05,14.475,0.000
6000,0.10,14.342,0.000
6000,0.15,14.208,0.000
6000,0.20,14.075,0.000
6000,0.25,13.975,0.000
6000,0.30,13.875,0.000
6000,0.35,13.775,0.000
6000,0.40,13.675,0.000
6000,0.45,13.575,0.000
6000,0.50,13.475,0.000
6000,0.55,13.375,0.000
6000,0.60,13.275,0.000
6000,0.65,13.175,0.000
6000,0.70,13.075,0.000
6000,0.75,12.975,0.000
6000,0.80,12.875,0.000
6000,0.85,12.775,0.000
6000,0.90,12.675,0.000
6000,0.95,12.575,0.000
6000,1.00,12.475,0.000
6200,0.00,14.468,0.000
6200,0.05,14.468,0.000
6200,0.10,14.335,0.000
6200,0.15,14.201,0.000
6200,0.20,14.068,0.000
6200,0.25,13.968,0.000
6200,0.30,13.868,0.000
6200,0.35,13.768,0.000
6200,0.40,13.668,0.000
6200,0.45,13.568,0.000
6200,0.50,13.468,0.000
6200,0.55,13.368,0.000
6200,0.60,13.268,0.000
6200,0.65,13.168,0.000
6200,0.70,13.068,0.000
6200,0.75,12.968,0.000
6200,0.80,12.868,0.000
6200,0.85,12.768,0.000
6200,0.90,12.668,0.000
6200,0.95,12.568,0.000
6200,1.00,12.468,0.000
6400,0.00,14.460,0.000
6400,0.05,14.460,0.000
6400,0.10,14.327,0.000
6400,0.15,14.193,0.000
6400,0.20,14.060,0.000
6400,0.25,13.960,0.000
6400,0.30,13.860,0.000
6400,0.35,13.760,0.000
6400,0.40,13.660,0.000
6400,0.45,13.560,0.000
6400,0.50,13.460,0.000
6400,0.55,13.360,0.000
6400,0.60,13.260,0.000
6400,0.65,13.160,0.000
6400,0.70,13.060,0.000
6400,0.75,12.960,0.000
6400,0.80,12.860,0.000
6400,0.85,12.760,0.000
6400,0.90,12.660,0.000
6400,0.95,12.560,0.000
6400,1.00,12.460,0.000
6600,0.00,14.453,0.000
6600,0.05,14.453,0.000
6600,0.10,14.320,0.000
6600,0.15,14.186,0.000
6600,0.20,14.053,0.000
6600,0.25,13.953,0.000
6600,0.30,13.853,0.000
6600,0.35,13.753,0.000
6600,0.40,13.653,0.000
6600,0.45,13.553,0.000
6600,0.50,13.453,0.000
6600,0.55,13.353,0.000
6600,0.60,13.253,0.000
6600,0.65,13.153,0.000
6600,0.70,13.053,0.000
6600,0.75,12.953,0.000
6600,0.80,12.853,0.000
6600,0.85,12.753,0.000
6600,0.90,12.653,0.000
6600,0.95,12.553,0.000
6600,1.00,12.453,0.000
6800,0.00,14.445,0.000
6800,0.05,14.445,0.000
6800,0.10,14.312,0.000
6800,0.15,14.178,0.000
6800,0.20,14.045,0.000
6800,0.25,13.945,0.000
6800,0.30,13.845,0.000
6800,0.35,13.745,0.000
6800,0.40,13.645,0.000
6800,0.45,13.545,0.000
6800,0.50,13.445,0.000
6800,0.55,13.345,0.000
6800,0.60,13.245,0.000
6800,0.65,13.145,0.000
6800,0.70,13.045,0.000
6800,0.75,12.945,0.000
6800,0.80,12.845,0.000
6800,0.85,12.745,0.000
6800,0.90,12.645,0.000
6800,0.95,12.545,0.000
6800,1.00,12.445,0.000
7000,0.00,14.438,0.000
7000,0.05,14.438,0.000
7000,0.10,14.305,0.000
7000,0.15,14.171,0.000
7000,0.20,14.038,0.000
7000,0.25,13.938,0.000
7000,0.30,13.838,0.000
7000,0.35,13.738,0.000
7000,0.40,13.638,0.000
7000,0.45,13.538,0.000
7000,0.50,13.438,0.000
7000,0.55,13.338,0.000
7000,0.60,13.238,0.000
7000,0.65,13.138,0.000
7000,0.70,13.038,0.000
7000,0.75,12.938,0.000
7000,0.80,12.838,0.000
7000,0.85,12.738,0.000
7000,0.90,12.638,0.000
7000,0.95,12.538,0.000
7000,1.00,12.438,0.000
7200,0.00,14.430,0.000
7200,0.05,14.430,0.000
7200,0.10,14.297,0.000
7200,0.15,14.163,0.000
7200,0.20,14.030,0.000
7200,0.25,13.930,0.000
7200,0.30,13.830,0.000
7200,0.35,13.730,0.000
7200,0.40,13.630,0.000
7200,0.45,13.530,0.000
7200,0.50,13.430,0.000
7200,0.55,13.330,0.000
7200,0.60,13.230,0.000
7200,0.65,13.130,0.000
7200,0.70,13.030,0.000
7200,0.75,12.930,0.000
7200,0.80,12.830,0.000
7200,0.85,12.730,0.000
7200,0.90,12.630,0.000
7200,0.95,12.530,0.000
7200,1.00,12.430,0.000
7400,0.00,14.423,0.000
7400,0.05,14.423,0.000
7400,0.10,14.290,0.000
7400,0.15,14.156,0.000
7400,0.20,14.023,0.000
7400,0.25,13.923,0.000
7400,0.30,13.823,0.000
7400,0.35,13.723,0.000
7400,0.40,13.623,0.000
7400,0.45,13.523,0.000
7400,0.50,13.423,0.000
7400,0.55,13.323,0.000
